Heavyweight,Sergei Pavlovich,14
Heavyweight,Ciryl Gane,15
Women's Strawweight,Zhang Weili,0
Women's Strawweight,Jessica Andrade,1
Women's Strawweight,Rose Namajunas,2
Women's Strawweight,Tatiana Suarez,3
Women's Strawweight,Joanna Jedrzejczyk,4
Women's Strawweight,Nina Ansaroff,5
Women's Strawweight,Claudia Gadelha,6
Women's Strawweight,Carla Esparza,7
Women's Strawweight,Michelle Waterson,8
Women's Strawweight,Marina Rodriguez,9
Women's Strawweight,Cynthia Calvillo,10
Women's Strawweight,Alexa Grasso,11
Women's Strawweight,Felice Herrig,12
Women's Strawweight,Tecia Torres,13
Women's Strawweight,Karolina Kowalkiewicz,14
Women's Strawweight,Amanda Ribas,15
Women's Flyweight,Valentina Shevchenko,0
Women's Flyweight,Katlyn Chookagian,1
Women's Flyweight,Jessica Eye,2
Women's Flyweight,Joanne Calderwood,3
Women's Flyweight,Jennifer Maia,4
Women's Flyweight,Viviane Araujo,5
Women's Flyweight,Lauren Murphy,6
Women's Flyweight,Roxanne Modafferi,7
Women's Flyweight,Andrea Lee,8
Women's Flyweight,Maycee Barber,9
Women's Flyweight,Alexis Davis,10
Women's Flyweight,Montana De La Rosa,11
Women's Flyweight,Antonina Shevchenko,12
Women's Flyweight,Mara Romero Borella,13
Women's Flyweight,Paige VanZant,14
Women's Flyweight,Ji Yeon Kim,15
Women's Bantamweight,Amanda Nunes,0
Women's Bantamweight,Germaine de Randamie,1
Women's Bantamweight,Aspen Ladd,2
Women's Bantamweight,Holly Holm,3
Women's Bantamweight,Julianna Peña,4
Women's Bantamweight,Raquel Pennington,5
Women's Bantamweight,Irene Aldana,6
Women's Bantamweight,Ketlen Vieira,7
Women's Bantamweight,Yana Kunitskaya,8
Women's Bantamweight,Marion Reneau,9
Women's Bantamweight,Sara McMann,10
Women's Bantamweight,Lina Lansberg,11
Women's Bantamweight,Macy Chiasson,12
Women's Bantamweight,Bethe Correia,13
Women's Bantamweight,Nicco Montano,14
Women's Bantamweight,Sijara Eubanks,15
Women's Featherweight,Amanda Nunes,0
